"id","female","age","cohort","race","latinx","ethnic","educate","childs","marital","sei","occprest","attend","relig","fund","owngun","legalmarij","cappunish","partyaff","polviews","spanking","lifesatis","volunteer","confidence","civliberty","watchtv","pincome","fincome"
1160,"male",64,1954,"other","no","Other",16,3,1,82.5,64,6,2,"moderate","no","no","yes",7,6,3,NA,1,4,0,6,190,120
1161,"female",18,2000,"White","no","White",11,0,4,41.32,41,6,2,"moderate","yes",NA,"no",5,4,NA,NA,1,1,9,2,0,110
1162,"female",73,1945,"White","no","White",12,1,1,38.8,47,0,1,"fundamentalist","no","yes","yes",1,2,NA,NA,1,2,0,5,0,110
1163,"female",68,1950,"White","yes","Latinx",13,0,1,52,46,0,2,"moderate","no","no","yes",3,4,2,82.27,1,3,0,2,0,110
1164,"female",51,1967,"White","no","White",20,3,1,88.6,69,0,1,"liberal","yes",NA,"yes",7,6,2,NA,1,2,12,4,260,130
1165,"male",67,1951,"White","no","White",16,2,1,61.2,43,0,5,"none","no","yes","yes",4,4,NA,88.2,2,2,12,NA,230,120
1166,"male",81,1937,"White","no","White",16,5,2,91.1,69,0,5,"none","no","yes","no",1,2,2,NA,1,9,0,4,0,110
1167,"male",70,1948,"White","no","White",16,4,3,52.1,41,3,1,"fundamentalist","yes",NA,"yes",6,4,2,NA,1,5,10,2,0,100
1168,"male",63,1955,"White","no","White",12,1,1,45.4,49,3,2,"moderate","no","no","yes",2,6,2,80.99,1,2,0,6,0,120
1169,"female",71,1947,"White","no","White",12,3,1,39.2,38,7,1,"fundamentalist","no","no","yes",6,6,NA,76.82,4,5,0,NA,0,120
1170,"male",34,1984,"White","no","White",16,2,1,59.1,53,4,2,"moderate","yes",NA,"yes",5,5,3,NA,1,3,12,2,220,130
1171,"male",86,1932,"White","no","White",16,3,2,78.3,51,7,1,"liberal","no",NA,"yes",4,4,2,NA,1,2,9,2,190,120
1172,"female",39,1979,"White","no","White",12,0,4,35.8,32,0,6,"liberal","no","no","no",2,3,NA,NA,1,1,0,2,180,120
1173,"male",47,1971,"White","no","White",12,1,3,23.3,25,0,1,"fundamentalist","no",NA,"yes",4,4,4,NA,1,0,12,8,10,120
1174,"female",33,1985,"AfricanAmerican","no","AfricanAmerican",18,2,1,84.2,64,0,1,"moderate","no","yes","no",2,4,NA,60.63,1,1,3,NA,200,120
1175,"male",31,1987,"other","no","Other",16,0,2,51.8,49,0,6,"liberal","no","yes","yes",3,3,1,68.48,1,3,0,1,170,120
1176,"female",57,1961,"White","no","White",12,1,1,24.6,36,4,1,"fundamentalist","no",NA,"yes",6,5,3,NA,1,2,3,2,170,120
1177,"male",35,1983,"White","yes","Latinx",13,1,1,37.2,55,3,2,"moderate","no","yes","yes",4,4,2,NA,1,1,0,2,150,120
1178,"female",65,1953,"White","no","White",12,2,2,57.5,48,0,1,"moderate","no",NA,"no",3,1,2,NA,1,0,11,3,0,120
1179,"male",69,1949,"White","no","White",12,0,4,38.3,40,0,2,"moderate","yes","yes","yes",5,4,NA,80.1,1,5,12,NA,0,120
1180,"female",59,1959,"AfricanAmerican","no","AfricanAmerican",12,2,3,23.3,29,2,6,"liberal","no","no","no",2,1,4,49.42,1,0,0,8,0,30
1181,"male",35,1983,"White","no","White",13,2,1,32.6,50,0,6,"liberal","no","yes","no",2,2,NA,80.05,2,0,10,NA,190,120
1182,"male",37,1981,"White","no","White",13,0,4,23.3,25,7,1,"fundamentalist","no",NA,"yes",6,6,2,NA,1,0,12,2,150,120
1183,"female",51,1967,"White","no","White",12,2,1,77.4,72,3,1,"moderate","yes","no","yes",7,6,NA,79.55,4,5,12,NA,250,130
1184,"male",85,1933,"other","no","Other",10,1,1,52.43,48,4,2,"moderate","no","yes","no",3,4,2,56.66,1,1,0,2,70,120
1185,"female",49,1969,"White","no","White",16,2,1,57.4,50,4,2,"moderate","no",NA,"yes",6,6,3,NA,1,2,9,1,0,120
1186,"female",68,1950,"White","no","White",16,2,1,84.2,64,5,2,"moderate","no","yes","yes",3,3,NA,71.13,4,4,12,NA,0,120
1187,"female",70,1948,"White","no","White",17,2,1,84.2,64,0,1,"moderate","no","no","yes",5,4,3,85.02,1,4,0,3,0,110
1188,"male",74,1944,"White","no","White",12,3,2,28.7,32,0,1,"fundamentalist","yes","yes","yes",1,2,NA,68.93,1,1,12,NA,0,120
1189,"female",68,1950,"White","no","White",12,3,1,35.8,32,7,2,"moderate","no","no","no",7,6,3,NA,1,0,0,1,160,120
1190,"female",46,1972,"White","no","White",16,2,1,65.3,47,4,1,"moderate","yes",NA,"yes",7,6,3,NA,1,3,11,2,200,120
1191,"female",51,1967,"White","no","White",14,2,1,84.2,64,3,1,"moderate","no","yes","no",7,4,NA,79.73,3,3,9,NA,150,120
1192,"male",66,1952,"White","no","White",12,2,3,34.6,35,7,1,"fundamentalist","no","yes","yes",7,6,2,91.26,3,5,0,5,0,120
1193,"male",43,1975,"White","no","White",14,1,4,56.9,49,2,6,"liberal","no",NA,"no",5,5,2,NA,1,0,11,1,260,120
1194,"female",74,1944,"White","no","White",11,3,2,39.7,31,0,1,"liberal","no","no","yes",1,5,NA,32.15,1,1,4,NA,0,100
1195,"male",74,1944,"White","no","White",18,3,1,69.3,53,3,1,"fundamentalist","no","no","yes",5,6,3,79.82,1,5,0,5,0,120
1196,"male",85,1933,"White","no","White",12,4,1,65.3,60,1,2,"moderate","yes","no","yes",5,2,NA,89.97,1,9,2,NA,0,120
1197,"male",49,1969,"White","no","White",16,0,3,61.4,46,2,1,"fundamentalist","yes","yes","no",3,1,NA,48.78,1,3,12,NA,180,120
1198,"female",46,1972,"White","no","White",12,2,1,39.2,38,0,1,"liberal","yes",NA,"yes",7,4,2,NA,1,1,7,2,80,110
1199,"female",37,1981,"White","no","White",17,4,1,82.5,64,0,1,"moderate","no","no","no",2,4,NA,77.89,3,4,6,NA,0,120
1200,"female",41,1977,"White","no","White",11,6,3,24.2,48,4,1,"fundamentalist","no",NA,"no",4,5,1,NA,1,0,12,0,70,100
1201,"male",22,1996,"White","no","White",12,1,1,18.6,37,3,6,"liberal","no","yes","yes",3,3,NA,69.37,1,3,11,NA,140,120
1202,"female",43,1975,"White","yes","Latinx",16,1,1,35.8,32,4,2,"moderate","no","no","yes",3,4,2,80.19,1,9,0,0,70,120
1203,"female",73,1945,"White","no","White",16,4,1,80.9,61,7,1,"fundamentalist","yes","no","yes",4,4,NA,80.38,4,5,10,NA,0,120
1204,"female",34,1984,"White","no","White",16,1,1,82.5,64,7,1,"fundamentalist","yes",NA,"yes",6,5,4,NA,1,3,8,1,160,120
1205,"male",87,1931,"White","no","White",14,3,2,32,35,0,1,"fundamentalist","no","no","yes",1,4,NA,69.23,1,3,9,NA,0,90
1206,"female",32,1986,"White","no","White",18,0,4,63.7,51,5,1,"moderate","no","no","no",1,2,3,80.85,4,0,0,3,40,120
1207,"female",31,1987,"White","yes","Latinx",14,1,3,34.6,35,2,2,"moderate","no","yes","yes",4,4,NA,78.17,1,5,7,NA,0,120
1209,"male",69,1949,"White","no","White",12,2,3,32,35,4,1,"fundamentalist","yes",NA,"yes",6,3,4,NA,1,3,6,3,0,90
1210,"male",77,1941,"White","no","White",12,0,4,67.7,39,0,1,"fundamentalist","no","no","yes",7,6,NA,79.5,1,4,2,NA,0,90
1211,"male",52,1966,"White","no","White",13,2,3,18.6,37,1,2,"moderate","no",NA,"yes",6,4,3,NA,1,2,11,4,0,10
1212,"male",37,1981,"White","no","White",15,0,3,74.8,61,0,6,"liberal","no","yes","no",1,2,4,NA,1,2,0,1,210,120
1213,"male",52,1966,"White","no","White",12,0,4,18.6,37,0,6,"liberal","no",NA,"yes",3,5,3,NA,1,1,10,3,150,120
1214,"female",38,1980,"other","no","Other",16,0,4,43,38,0,6,"liberal","yes","yes","no",2,3,NA,81.74,3,3,12,NA,220,120
1215,"male",55,1963,"other","no","Other",11,4,3,31.2,45,3,6,"liberal","no","yes","no",5,5,NA,72.38,2,0,12,NA,30,30
1216,"female",75,1943,"White","no","White",13,3,1,32.6,37,7,1,"fundamentalist","no","no","yes",2,4,3,NA,1,0,0,6,0,120
1217,"female",50,1968,"White","yes","Latinx",14,1,1,23.8,25,5,2,"moderate","no",NA,"yes",4,5,2,NA,1,0,1,2,150,120
1218,"female",25,1993,"White","no","White",12,1,4,41.1,51,0,6,"liberal","no","yes","yes",3,3,NA,84.29,3,0,12,NA,0,120
1219,"male",28,1990,"White","no","White",12,2,1,22.9,28,2,1,"fundamentalist","yes","yes","yes",4,4,NA,91.82,1,8,8,NA,150,120
1220,"male",76,1942,"White","no","White",16,3,3,58.1,51,7,1,"fundamentalist","yes","no","yes",1,4,NA,71.26,3,6,8,NA,0,50
1221,"male",52,1966,"White","no","White",16,6,1,81.9,58,7,6,"none","yes",NA,"yes",5,4,2,NA,1,0,9,1,260,130
1222,"male",22,1996,"White","no","White",12,0,4,31.2,45,4,1,"fundamentalist","yes","no","no",6,6,NA,72.17,2,0,8,NA,170,120
1223,"male",57,1961,"White","no","White",11,1,2,68.6,50,0,6,"liberal","no","yes","no",2,2,3,NA,1,0,0,2,160,120
1224,"female",84,1934,"White","no","White",8,5,3,26.5,42,8,1,"none","no","no","no",7,4,NA,NA,1,0,0,5,0,110
1225,"female",63,1955,"White","no","White",14,2,1,44.6,36,3,1,"fundamentalist","yes","yes","yes",1,4,NA,74.9,3,1,7,NA,170,120
1226,"female",58,1960,"AfricanAmerican","no","AfricanAmerican",20,3,2,68.6,50,7,1,"moderate","no","no","yes",2,3,2,NA,1,4,0,1,220,120
1227,"female",43,1975,"White","no","White",11,1,1,28.6,48,0,6,"liberal","yes","yes","yes",2,4,NA,80.54,1,1,10,NA,0,120
1228,"female",25,1993,"White","no","White",13,0,4,84.5,74,2,1,"fundamentalist","yes",NA,"yes",5,5,1,NA,1,2,7,1,150,120
1229,"male",39,1979,"White","no","White",10,0,1,25.2,28,2,1,"fundamentalist","no","yes","yes",5,5,NA,69.15,3,0,0,NA,160,120
1230,"female",31,1987,"White","no","White",15,3,4,84.2,64,2,6,"liberal","no","yes","no",4,5,2,NA,1,3,0,2,80,120
1231,"female",39,1979,"White","no","White",12,2,3,67.7,39,8,1,"moderate","no",NA,"yes",5,6,2,NA,1,0,12,1,170,120
1232,"female",34,1984,"AfricanAmerican","no","AfricanAmerican",12,3,4,69.4,47,3,1,"fundamentalist","yes",NA,"yes",3,5,2,NA,1,0,12,2,0,120
1233,"male",27,1991,"White","no","White",14,0,1,20.7,24,6,1,"fundamentalist","no","yes","yes",5,4,2,80.12,4,1,0,3,180,120
1234,"male",35,1983,"White","no","White",16,0,4,19.6,31,0,6,"liberal","no",NA,"yes",5,4,2,NA,1,0,12,0,140,120
1235,"female",24,1994,"White","no","White",17,0,4,39.7,31,0,1,"fundamentalist","no","no","yes",3,2,NA,71.62,1,4,9,NA,0,120
1236,"male",48,1970,"White","no","White",16,2,4,86.7,65,3,1,"moderate","no","yes","yes",6,4,2,NA,1,3,0,1,0,120
1237,"male",21,1997,"White","no","White",14,0,4,39.9,29,4,6,"liberal","no",NA,"no",3,3,3,NA,1,1,8,1,0,120
1238,"male",30,1988,"White","no","White",15,0,4,52.5,44,0,1,"liberal","yes","yes","yes",6,5,NA,80.8,3,4,12,NA,170,120
1239,"male",36,1982,"other","no","Other",15,1,4,31.3,31,0,6,"liberal","no","no","yes",6,5,2,70.92,3,1,0,1,0,120
1240,"male",52,1966,"White","no","White",12,0,4,10.6,20,0,6,"liberal","no","no","yes",7,1,2,NA,1,7,0,2,0,90
1241,"male",36,1982,"White","no","White",17,2,1,77.4,72,4,2,"moderate","no","no","no",5,4,3,NA,1,3,0,1,260,130
1242,"female",80,1938,"White","no","White",18,0,2,84.5,74,8,1,"fundamentalist","no",NA,"yes",1,2,2,NA,1,0,6,1,0,120
1243,"female",27,1991,"White","no","White",16,0,4,32.6,37,4,6,"liberal","no","yes","yes",6,3,NA,83.44,2,0,4,NA,120,120
1244,"female",24,1994,"White","no","White",18,0,4,21.8,35,2,6,"liberal","no","yes","yes",6,3,2,72.27,1,3,0,0,0,110
1245,"female",44,1974,"White","no","White",12,2,3,38.8,47,2,2,"moderate","no",NA,"yes",4,4,3,NA,1,0,7,3,90,120
1246,"male",89,1929,"White","no","White",11,5,1,25.1,44,0,2,"moderate","no","yes","no",3,4,2,81.66,1,2,0,3,0,110
1247,"male",22,1996,"AfricanAmerican","no","AfricanAmerican",13,0,4,39.7,31,1,1,"moderate","no","yes","no",2,1,NA,89.49,2,2,8,NA,0,120
1248,"male",48,1970,"other","yes","Latinx",12,4,1,38.1,39,7,1,"liberal","no","no","no",3,5,1,78.04,2,3,0,5,0,120
1249,"female",33,1985,"White","yes","Latinx",9,3,4,65.3,47,7,2,"moderate","no","no","yes",1,2,NA,91.79,1,7,0,NA,30,110
1250,"female",59,1959,"other","yes","Latinx",12,2,2,17.1,24,2,2,"moderate","no","no","no",1,4,2,NA,1,6,0,9,0,80
1251,"male",43,1975,"other","no","Other",13,0,4,32,35,1,6,"liberal","no",NA,"yes",5,5,2,NA,1,0,12,1,0,120
1252,"female",32,1986,"other","no","Other",12,1,1,17.5,22,8,1,"fundamentalist","no","yes","yes",1,2,NA,94.74,1,2,7,NA,10,100
1253,"female",62,1956,"White","no","White",16,2,3,41.4,60,0,6,"liberal","no",NA,"no",3,2,2,NA,1,0,11,4,0,100
1254,"female",53,1965,"White","no","White",12,2,1,45.3,17,1,6,"liberal","no",NA,"no",4,5,3,NA,1,1,12,1,130,120
1255,"female",59,1959,"White","no","White",13,2,1,84.2,64,0,2,"moderate","no","yes","yes",5,6,2,NA,1,0,0,1,200,120
1256,"male",47,1971,"White","yes","Latinx",12,3,1,25.2,28,0,6,"liberal","no","no","no",7,6,1,65.03,1,3,0,1,230,120
1257,"female",18,2000,"White","yes","Latinx",12,0,4,41.52,41,0,2,"moderate","no",NA,"no",2,4,2,NA,1,1,8,6,0,120
1258,"male",64,1954,"White","yes","Latinx",12,2,2,31.6,35,1,1,"fundamentalist","no",NA,"no",2,4,2,NA,1,1,3,5,150,120
1259,"male",22,1996,"White","no","White",12,0,4,13.6,33,0,1,"fundamentalist","no","no","yes",3,3,NA,71.66,1,4,3,NA,0,100
1260,"female",37,1981,"White","no","White",16,0,1,89.9,68,0,2,"moderate","no","yes","no",1,1,3,78.2,3,1,0,2,220,120
1261,"female",31,1987,"White","no","White",16,0,4,57.5,48,3,2,"moderate","no",NA,"no",1,2,3,NA,1,1,12,1,190,120
1262,"female",72,1946,"White","no","White",14,1,2,24.2,48,7,1,"liberal","no","no","yes",2,4,3,NA,1,1,0,4,0,120
1263,"female",32,1986,"White","no","White",16,0,1,88.7,71,0,6,"liberal","no","yes","no",1,2,NA,68.56,2,0,12,NA,150,120
1264,"male",69,1949,"White","no","White",16,0,1,59.8,46,0,6,"liberal","no","no","no",1,2,NA,92.82,1,6,12,NA,0,120
1265,"female",32,1986,"White","no","White",16,0,4,67.7,39,0,6,"liberal","no","yes","no",4,1,3,NA,1,5,0,2,220,120
1266,"male",32,1986,"White","no","White",16,0,4,39.2,38,1,2,"moderate","no","yes","yes",3,4,2,68.09,4,1,0,2,180,120
1267,"female",60,1958,"White","no","White",15,4,3,38.8,47,1,2,"moderate","no",NA,"yes",4,5,3,NA,1,2,4,2,170,120
1268,"male",70,1948,"White","no","White",5,2,2,13.2,32,7,2,"moderate","no","no","no",4,7,3,NA,1,4,0,2,0,90
1269,"female",41,1977,"other","yes","Latinx",14,1,4,19.6,31,3,2,"moderate","no",NA,"no",1,4,1,NA,1,3,6,4,180,120
1270,"female",35,1983,"White","no","White",17,0,4,84.5,74,0,1,"moderate","no","yes","yes",2,2,4,NA,1,2,0,0,0,90
1271,"female",77,1941,"White","no","White",14,3,3,38.8,47,7,2,"moderate","no",NA,"no",5,6,2,NA,1,4,3,6,0,10
1272,"male",57,1961,"White","no","White",10,1,3,25.2,28,2,2,"moderate","yes","yes","yes",7,6,NA,68.96,1,2,12,NA,120,100
1273,"male",26,1992,"White","no","White",15,0,4,59.1,38,2,1,"liberal","yes","yes","no",3,4,NA,61.79,2,3,12,NA,0,90
1274,"male",56,1962,"White","no","White",12,4,3,38.3,40,0,6,"liberal","no","yes","yes",4,4,1,NA,1,1,0,5,140,110
1275,"male",24,1994,"White","no","White",16,0,4,63.7,51,0,6,"liberal","no",NA,"no",2,3,3,NA,1,2,12,1,190,120
1276,"female",56,1962,"AfricanAmerican","no","AfricanAmerican",11,3,4,24.2,48,2,1,"fundamentalist","no","yes","no",1,2,3,58.57,1,1,0,3,0,80
1277,"female",39,1979,"other","no","Other",3,3,2,14.8,22,7,1,"liberal","no",NA,"yes",1,4,3,NA,1,4,2,1,30,110
1278,"female",30,1988,"White","no","White",20,0,1,84.5,74,4,1,"liberal","no","yes","no",1,2,NA,80.31,5,4,9,NA,140,120
1279,"female",26,1992,"White","no","White",16,0,4,23.8,25,0,6,"liberal","no","yes","no",1,1,3,NA,1,3,0,4,100,100
1280,"female",31,1987,"White","no","White",12,4,4,12.6,25,0,6,"liberal","no",NA,"no",4,6,1,NA,1,1,10,0,0,40
1281,"female",36,1982,"White","no","White",16,3,1,87.3,65,1,6,"liberal","yes","yes","no",2,4,NA,84.12,2,3,8,NA,190,120
1282,"male",69,1949,"White","no","White",16,4,1,65.3,60,4,2,"moderate","no","no","yes",7,7,2,78.03,2,2,0,2,220,120
1283,"female",39,1979,"White","no","White",16,2,1,56.9,49,0,6,"liberal","yes",NA,"yes",3,4,4,NA,1,2,12,2,180,120
1284,"male",53,1965,"White","no","White",11,2,1,31.6,35,0,1,"fundamentalist","no","yes","yes",7,5,3,70.04,3,4,0,4,200,120
1285,"male",55,1963,"White","no","White",12,2,3,25.2,28,0,6,"liberal","yes","no","yes",5,6,NA,78.99,1,2,8,NA,190,120
1286,"female",50,1968,"White","no","White",9,3,3,24.1,30,0,2,"moderate","no","no","no",4,4,4,72.88,1,1,0,2,0,30
1287,"male",31,1987,"White","no","White",18,0,1,86.7,65,1,3,"liberal","yes","yes","no",1,2,NA,79.58,4,6,10,NA,160,120
1288,"female",70,1948,"White","no","White",17,0,4,80.9,61,7,2,"moderate","no","no","no",7,4,3,NA,1,0,0,2,0,120
1289,"female",68,1950,"White","no","White",14,2,3,32.6,50,6,1,"liberal","no","yes","yes",1,2,NA,79.89,4,4,12,NA,0,100
1290,"male",73,1945,"White","no","White",15,2,1,84.5,74,1,6,"liberal","no","yes","no",3,3,3,79.91,3,0,0,2,240,130
1291,"female",60,1958,"White","no","White",20,0,4,25.7,38,0,6,"liberal","no","yes","no",1,2,NA,70.08,1,4,10,NA,110,120
1292,"male",30,1988,"White","no","White",12,0,4,25.2,28,1,6,"liberal","yes","yes","yes",5,5,NA,68.74,1,1,11,NA,130,120
1293,"female",60,1958,"White","no","White",14,2,1,35.8,32,3,2,"moderate","no","yes","no",2,4,3,NA,1,1,0,2,190,120
1294,"male",61,1957,"White","no","White",12,3,3,29.5,29,0,6,"liberal","yes","yes","yes",3,3,NA,72.94,2,3,11,NA,10,120
1295,"female",69,1949,"White","no","White",11,3,2,12.6,25,0,1,"moderate","no","no","yes",1,4,3,88.02,1,1,0,3,90,90
1296,"male",41,1977,"White","no","White",9,3,4,51.8,49,0,6,"liberal","no",NA,"yes",4,4,3,NA,1,0,5,5,0,20
1297,"male",64,1954,"White","no","White",14,0,4,51.5,48,0,1,"moderate","no","yes","no",3,4,NA,76.82,2,2,5,NA,0,90
1298,"female",63,1955,"White","no","White",12,4,2,26.8,35,1,2,"moderate","no","yes","no",2,4,2,70.59,1,6,0,7,0,120
1299,"male",22,1996,"AfricanAmerican","no","AfricanAmerican",11,1,4,45.4,49,0,6,"liberal","no","no","yes",4,6,NA,67.84,5,4,9,NA,0,30
1300,"female",33,1985,"White","no","White",12,2,3,41.96,42,0,4,"none","no","no","yes",4,6,3,NA,1,5,0,4,0,10
1301,"male",56,1962,"White","no","White",16,0,4,77.4,72,7,2,"moderate","no","no","no",1,3,NA,67.91,1,7,8,NA,210,120
1302,"female",30,1988,"White","no","White",15,1,1,52,46,2,6,"liberal","yes",NA,"yes",2,2,3,NA,1,2,11,1,190,120
1303,"female",89,1929,"White","no","White",14,3,2,24.6,36,2,1,"moderate","no","yes","no",1,5,NA,58.96,1,4,8,NA,0,110
1304,"female",61,1957,"White","no","White",16,1,3,63.7,33,3,1,"moderate","no","no","yes",6,4,3,78.66,3,4,0,1,230,120
1305,"male",55,1963,"White","no","White",12,2,3,23.3,29,2,1,"moderate","no","yes","yes",4,4,NA,70.78,1,2,2,NA,190,120
1306,"female",67,1951,"White","no","White",18,0,4,82.5,64,1,6,"liberal","no",NA,"yes",2,2,3,NA,1,2,9,2,0,120
1307,"female",61,1957,"White","no","White",12,2,1,18.8,28,3,6,"liberal","yes","yes","yes",4,4,NA,79.57,1,1,7,NA,0,120
1308,"male",69,1949,"White","no","White",12,3,2,23,31,3,2,"moderate","no","yes","no",4,4,3,80.95,1,2,0,3,0,90
1309,"male",30,1988,"AfricanAmerican","no","AfricanAmerican",16,0,4,37.6,31,0,6,"liberal","no","yes","no",1,1,NA,71.25,1,3,12,NA,0,120
1310,"male",70,1948,"White","no","White",12,3,1,65.1,59,0,1,"moderate","no","no","yes",7,6,2,NA,1,2,0,5,0,120
1311,"male",41,1977,"AfricanAmerican","no","AfricanAmerican",13,3,3,32,35,5,1,"liberal","no",NA,"no",2,1,1,NA,1,2,7,2,180,120
1312,"female",67,1951,"AfricanAmerican","no","AfricanAmerican",8,3,4,58.2,38,8,6,"liberal","no",NA,"yes",3,7,2,NA,1,1,7,2,100,100
1313,"male",62,1956,"White","no","White",12,1,3,28.5,26,7,1,"fundamentalist","no","no","yes",2,4,NA,62.55,1,2,3,NA,0,90
1314,"female",36,1982,"AfricanAmerican","no","AfricanAmerican",14,3,3,36.4,44,5,1,"fundamentalist","no",NA,"no",1,4,1,NA,1,1,9,4,150,120
1315,"female",51,1967,"White","no","White",14,2,1,38.8,47,4,1,"liberal","no","no","no",7,4,3,NA,1,6,0,2,190,120
1316,"female",65,1953,"White","no","White",16,0,1,69.4,47,5,1,"liberal","yes",NA,"no",2,5,2,NA,1,2,11,4,170,120
1317,"male",63,1955,"AfricanAmerican","no","AfricanAmerican",12,7,3,28.5,26,5,1,"moderate","no","yes","yes",1,4,3,NA,1,4,0,7,80,120
1318,"male",23,1995,"White","no","White",16,0,4,82.4,52,2,1,"moderate","yes","yes","yes",5,4,NA,77.76,3,7,9,NA,0,120
1319,"female",89,1929,"White","no","White",12,7,2,19.6,31,7,1,"liberal","no","no","yes",2,3,2,NA,1,1,0,5,0,20
1320,"female",47,1971,"White","no","White",16,0,1,57.8,37,7,1,"liberal","yes",NA,"yes",6,4,3,NA,1,0,9,2,100,120
1321,"female",75,1943,"White","no","White",12,3,2,41,39,8,1,"fundamentalist","no","yes","yes",7,6,NA,77.28,5,4,0,NA,0,120
1322,"male",24,1994,"White","no","White",12,0,1,35.3,42,0,1,"liberal","yes","no","yes",7,6,NA,66.91,1,0,12,NA,200,120
1323,"male",42,1976,"White","no","White",13,2,1,84,73,0,6,"liberal","yes",NA,"yes",5,6,2,NA,1,2,5,0,220,120
1324,"female",29,1989,"White","no","White",12,1,4,42.98,42,2,1,"fundamentalist","no","no","yes",4,4,NA,80.35,1,7,5,NA,0,90
1325,"female",26,1992,"White","no","White",14,0,4,37.2,55,5,1,"fundamentalist","no","yes","yes",5,4,1,NA,1,3,0,1,140,110
1326,"female",89,1929,"AfricanAmerican","no","AfricanAmerican",10,7,2,17.1,24,0,1,"fundamentalist","no",NA,"no",1,5,1,NA,1,1,0,7,0,70
1327,"female",76,1942,"White","no","White",12,2,1,37.6,31,7,1,"fundamentalist","yes",NA,"no",2,4,2,NA,1,1,0,2,0,120
1328,"female",36,1982,"White","no","White",12,2,1,39.9,29,0,2,"moderate","no","yes","yes",2,1,NA,79.52,1,4,12,NA,150,120
1329,"female",77,1941,"White","no","White",12,3,1,38.3,45,7,1,"fundamentalist","yes",NA,"yes",7,5,1,NA,1,0,5,4,0,120
1330,"male",32,1986,"White","no","White",12,2,1,35.3,42,0,6,"liberal","no","no","yes",7,6,3,NA,1,3,0,4,200,120
1331,"male",72,1946,"White","no","White",12,2,3,32,35,0,1,"liberal","yes",NA,"yes",4,4,1,NA,1,0,5,3,0,90
1332,"female",39,1979,"White","no","White",17,1,1,23.8,25,0,6,"liberal","no","yes","no",2,1,NA,79.08,2,2,9,NA,90,120
1333,"female",71,1947,"White","no","White",12,0,1,29.9,33,7,1,"liberal","yes",NA,"yes",6,6,2,NA,1,1,2,5,0,120
1334,"male",31,1987,"White","no","White",14,3,3,26.9,32,0,6,"liberal","no","yes","yes",7,7,1,77.49,3,3,0,2,190,120
1335,"male",69,1949,"White","no","White",18,2,1,68.6,53,5,1,"moderate","no","yes","no",3,3,2,79.33,5,2,0,2,0,120
1336,"male",35,1983,"other","yes","Latinx",3,2,1,13.6,33,6,1,"moderate","no","no","yes",4,4,NA,87.59,1,4,4,NA,110,100
1337,"male",80,1938,"White","no","White",16,2,1,82.5,64,7,1,"moderate","no","no","yes",7,5,1,80.58,4,3,0,2,0,120
1338,"male",49,1969,"White","no","White",16,3,3,71.8,64,2,1,"moderate","no",NA,"yes",3,4,2,NA,1,1,7,0,220,120
1339,"male",42,1976,"White","no","White",12,3,1,45.4,49,0,1,"liberal","no","no","yes",2,4,2,68.98,1,1,0,2,180,120
1340,"female",36,1982,"other","yes","Latinx",3,3,1,14,27,3,2,"moderate","no",NA,"no",3,6,2,NA,1,1,2,3,0,100
1341,"male",71,1947,"White","no","White",10,1,1,14,27,1,1,"liberal","yes","yes","no",6,4,NA,69.78,1,5,10,NA,0,120
1342,"male",64,1954,"White","no","White",6,1,4,68.6,50,0,6,"liberal","no","yes","yes",4,6,3,NA,1,4,0,1,0,10
1343,"male",57,1961,"White","no","White",14,1,3,38.8,45,0,6,"liberal","yes",NA,"yes",6,3,1,NA,1,0,8,2,140,110
1344,"female",24,1994,"White","no","White",12,1,1,39.7,31,0,6,"liberal","yes","no","yes",4,5,NA,91.37,1,5,9,NA,10,110
1345,"female",47,1971,"White","no","White",13,1,3,38.8,47,6,2,"moderate","no",NA,"yes",6,3,3,NA,1,1,7,4,0,120
1346,"male",23,1995,"White","no","White",13,0,4,69.4,47,0,6,"liberal","no","no","yes",6,3,NA,79.55,4,8,12,NA,160,120
1347,"male",46,1972,"White","no","White",14,2,3,69.4,47,2,6,"liberal","yes",NA,"yes",7,4,3,NA,1,0,12,1,220,120
1348,"male",57,1961,"White","no","White",10,2,3,52.4,43,8,1,"moderate","no","no","no",4,1,1,90.18,4,1,0,0,0,120
1349,"female",50,1968,"White","no","White",18,3,1,64.2,53,3,2,"moderate","no","no","yes",4,4,NA,77.3,1,8,12,NA,180,120
1350,"female",34,1984,"White","no","White",13,0,4,53,62,1,1,"fundamentalist","no","yes","yes",5,3,2,NA,1,2,0,0,180,120
1351,"male",20,1998,"White","no","White",13,0,4,41.74,41,7,1,"fundamentalist","yes","yes","no",5,4,NA,69.41,3,4,12,NA,0,110
1352,"female",49,1969,"White","no","White",15,2,1,38.8,47,7,1,"fundamentalist","yes",NA,"no",6,4,1,NA,1,1,12,2,200,120
1353,"female",30,1988,"other","yes","Latinx",15,0,4,52,46,1,6,"liberal","no","yes","yes",1,2,3,NA,1,2,0,5,190,120
1354,"male",29,1989,"White","no","White",12,2,1,23.8,25,7,1,"liberal","no",NA,"yes",4,4,1,NA,1,1,5,3,160,120
1355,"female",61,1957,"White","no","White",12,3,3,19.6,31,0,1,"fundamentalist","no","yes","yes",2,4,1,90.32,1,2,0,3,180,120
1356,"female",29,1989,"other","no","Other",20,0,4,36.73,41,0,5,"none","no",NA,"no",3,4,4,NA,1,2,6,1,0,110
